slug	rank	date	genre	artist	album	spotify	year
Beach House - 7	20	May 11, 2018	Dream Pop	Beach House	7	4qftBBO7pnYlek3mRENIvM	2018.htm
Cardi B - Invasion of Privacy	19	April 6, 2018	Trap Rap	Cardi B	Invasion of Privacy	4KdtEKjY3Gi0mKiSdy96ML	2018.htm
SOPHIE - OIL OF EVERY PEARL'S UN-INSIDES	18	June 15, 2018	Post-Industrial	SOPHIE	OIL OF EVERY PEARL'S UN-INSIDES	0CKiI5WdJ5rzUIK8hyD3SY	2018.htm
Pusha T - Daytona	17	May 25, 2018	Hip Hop	Pusha T	Daytona	07bIdDDe3I3hhWpxU6tuBp	2018.htm
Jon Hopkins - Singularity	16	May 4, 2018	Microhouse	Jon Hopkins	Singularity	1nvzBC1M3dlCMIxfUCBhlO	2018.htm
Noname - Room 25	15	September 14, 2018	Hip Hop	Noname	Room 25	7oHM3Sj0l2nXAzGAxW0KOt	2018.htm
Amen Dunes - Freedom	14	March 30, 2018	Neo-Psychedelia	Amen Dunes	Freedom	2H4G8AGta9p8yjgjVI9nZd	2018.htm
Tirzah - Devotion	13	August 10, 2018	Art Pop	Tirzah	Devotion	15GocbF7ybkkPP03YXtLqv	2018.htm
cupcakKe - Ephorize	12	January 5, 2018	Trap Rap	cupcakKe	Ephorize	5vnAsJiYwz1Cb3lydVGN9W	2018.htm
Ariana Grande - Sweetener	11	August 17, 2018	R&B	Ariana Grande	Sweetener	3tx8gQqWbGwqIGZHqDNrGe	2018.htm
Yves Tumor - Safe in the Hands of Love	10	September 5, 2018	Post-Industrial	Yves Tumor	Safe in the Hands of Love	1IpYZkYoYCjXTYMDEW8Ksk	2018.htm
Tierra Whack - Whack World	9	May 30, 2018	Pop Rap	Tierra Whack	Whack World	3ogNAkUhvQy0cFOfLoR6Y8	2018.htm
Low - Double Negative	8	September 14, 2018	Ambient Pop	Low	Double Negative	1zTkgOHx3mjrUvrhxq4osf	2018.htm
Earl Sweatshirt - Some Rap Songs	7	November 30, 2018	Experimental Hip Hop	Earl Sweatshirt	Some Rap Songs	66at85wgO2pu5CccvqUF6i	2018.htm
Rosalía - El Mal Querer	6	November 2, 2018	Art Pop	Rosalía	El Mal Querer	355bjCHzRJztCzaG5Za4gq	2018.htm
Snail Mail - Lush	5	June 8, 2018	Indie Rock	Snail Mail	Lush	2e48GqjEwCi87gQJanb1bf	2018.htm
Robyn - Honey	4	October 26, 2018	Electropop	Robyn	Honey	6WZjFvrzwq8SOGe0r8R3qk	2018.htm
DJ Koze - Knock Knock	3	May 4, 2018	Deep House	DJ Koze	Knock Knock	0sT4nyNxsvGNQr1O8OR83O	2018.htm
Kacey Musgraves - Golden Hour	2	March 30, 2018	Country Pop	Kacey Musgraves	Golden Hour	7f6xPqyaolTiziKf5R5Z0c	2018.htm
Mitski - Be the Cowboy	1	August 17, 2018	Indie Rock	Mitski	Be the Cowboy	653wRjqO0GOZPQPcXpeAXD	2018.htm
Floating Points - Crush	50	October 18, 2019	IDM	Floating Points	Crush	1WwZwdTICfaZI51BIIEN9z	2019
Faye Webster - Atlanta Millionaires Club	49	May 24, 2019	Alt-Country	Faye Webster	Atlanta Millionaires Club	4vt0V1SmkaK1Y440P5Nsb4	2019
Danny Brown - uknowhatimsayin¿	48	October 4, 2019	Abstract Hip Hop	Danny Brown	uknowhatimsayin¿	4G3BRVsGEpWzUdplFJ1VBl	2019
Barker - Utility	47	September 6, 2019	Minimal Techno	Barker	Utility	5F3YJdIjGHhnUVuD96G1mz	2019
CHAI - PUNK	46	February 13, 2019	Dance Punk	CHAI	PUNK	7tcbI0Qp64LaGwHYgwkbBO	2019
DaBaby - Baby On Baby	45	March 1, 2019	Trap Rap	DaBaby	Baby On Baby	0O1PJ0t69iTO5yWrIeIga0	2019
Holly Herndon - PROTO	44	May 10, 2019	Glitch Pop	Holly Herndon	PROTO	3PkYFFSJTPxOhnSYBtyZsk	2019
Rico Nasty & Kenny Beats - Anger Management	43	April 25, 2019	Trap Rap	Rico Nasty & Kenny Beats	Anger Management	5JbeU5WL1WAGxy1u5fsOmf	2019
100 gecs - 1000 gecs	42	May 31, 2019	Bubblegum Bass	100 gecs	1000 gecs	4CGanXs6KlVuXXdNrf82qE	2019
Blood Incantation - Hidden History of the Human Race	41	November 22, 2019	Death Metal	Blood Incantation	Hidden History of the Human Race	34U0n1oAE5mwgdaIBrcIck	2019
Thom Yorke - ANIMA	40	June 27, 2019	Glitch Pop	Thom Yorke	ANIMA	1g4vEVvVVFvFju0gS0DMbh	2019
Aldous Harding - Designer	39	April 26, 2019	Singer-Songwriter	Aldous Harding	Designer	0QNJa03XQeMOuQhi9izThh	2019
RAP - Export	38	February 28, 2019	Ambient Techno	RAP	Export		2019
Nilüfer Yanya - Miss Universe	37	March 22, 2019	Indie Pop	Nilüfer Yanya	Miss Universe	4ghm3TST2NwYOIAd5QHjbU	2019
Denzel Curry - ZUU	36	May 31, 2019	Trap Rap	Denzel Curry	ZUU	6PkSBdx19zarn4ae1D08gA	2019
Mannequin Pussy - Patience	35	June 21, 2019	Punk Rock	Mannequin Pussy	Patience	1X0Na8DRV5U6G9grTPDWKF	2019
slowthai - Nothing Great About Britain	34	May 17, 2019	Hip Hop	slowthai	Nothing Great About Britain	2wl8jFb7m1paRmxIbwtHru	2019
Polo G - Die a Legend	33	June 7, 2019	Trap Rap	Polo G	Die a Legend	26ztFK3E69j5THJQdyxC5w	2019
Sharon Van Etten - Remind Me Tomorrow	32	January 18, 2019	Indie Pop	Sharon Van Etten	Remind Me Tomorrow	2dvXk4nacVRmDSnbKniwrS	2019
MIKE - tears of joy	31	June 21, 2019	Abstract Hip Hop	MIKE	tears of joy	0LTQhn97NYWef8DeDAsknh	2019
Oso Oso - Basking in the Glow	30	August 16, 2019	Emo	Oso Oso	Basking in the Glow	0W3zHdIMXAfAAueEWaagRH	2019
Ariana Grande - thank u, next	29	February 8, 2019	R&B	Ariana Grande	thank u, next	2fYhqwDWXjbpjaIJPEfKFw	2019
Nick Cave & The Bad Seeds - Ghosteen	28	October 4, 2019	Singer-Songwriter	Nick Cave & The Bad Seeds	Ghosteen	6UOvMBrdfOWGqSvtQohiso	2019
Florist - Emily Alone	27	July 26, 2019	Indie Folk	Florist	Emily Alone	2Lgoj4yzpi5YchgiVuZTcH	2019
Burna Boy - African Giant	26	July 25, 2019	Afrobeats	Burna Boy	African Giant	34vlTd4355ddD4q9pPsoqF	2019
Vampire Weekend - Father of the Bride	25	May 3, 2019	Indie Pop	Vampire Weekend	Father of the Bride	1A3nVEWRJ8yvlPzawHI1pQ	2019
Kim Gordon - No Home Record	24	October 11, 2019	Noise Rock	Kim Gordon	No Home Record	4WgO7FEa9fzcyOIabUIbQR	2019
Tyler, the Creator - IGOR	23	May 17, 2019	Neo-Soul	Tyler, the Creator	IGOR	5zi7WsKlIiUXv09tbGLKsE	2019
Cate Le Bon - Reward	22	May 24, 2019	Art Pop	Cate Le Bon	Reward	1et95HstXof7uDcKgCkwXw	2019
Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	21	March 29, 2019	Electropop	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	0S0KGZnfBGSIssfF54WSJh	2019
Jenny Hval - The Practice of Love	20	September 13, 2019	Art Pop	Jenny Hval	The Practice of Love	6Ia2sw3y79k40GHeNjCfLh	2019
Jessica Pratt - Quiet Signs	19	February 8, 2019	Folk	Jessica Pratt	Quiet Signs	00oz3t7cI3WfwS2oEIZD6x	2019
Clairo - Immunity	18	August 2, 2019	Indie Pop	Clairo	Immunity	4kkVGtCqE2NiAKosri9Rnd	2019
(Sandy) Alex G - House of Sugar	17	September 13, 2019	Indie Folk	(Sandy) Alex G	House of Sugar	2kCDZ3gCr5hXFgbFsPMcxP	2019
Bon Iver - i,i	16	August 9, 2019	Art Pop	Bon Iver	i,i	54DU59anGQsdrFP7utpshG	2019
Bill Callahan - Shepherd in a Sheepskin Vest	15	June 14, 2019	Singer-Songwriter	Bill Callahan	Shepherd in a Sheepskin Vest	7sfkWJ14gZywjyv3wtQ5WC	2019
Beyoncé - HOMECOMING: THE LIVE ALBUM	14	April 17, 2019	R&B	Beyoncé	HOMECOMING: THE LIVE ALBUM	35S1JCj5paIfElT2GODl6x	2019
Big Thief - Two Hands	13	October 11, 2019	Indie Folk	Big Thief	Two Hands	7pg8T6pajjHVZbiyB8bGxo	2019
Brittany Howard - Jaime	12	September 20, 2019	Psychedelic Soul	Brittany Howard	Jaime	6fbphjr9j57oxMB2bnhzUf	2019
Jamila Woods - LEGACY! LEGACY!	11	May 10, 2019	Alternative R&B	Jamila Woods	LEGACY! LEGACY!	5NzK7S7oQQnO8eLRf7kDJx	2019
Purple Mountains - Purple Mountains	10	July 12, 2019	Indie Rock	Purple Mountains	Purple Mountains	5NCdiiTgky5PbjmCtcgwtn	2019
Weyes Blood - Titanic Rising	9	April 5, 2019	Art Pop	Weyes Blood	Titanic Rising	53VKICyqCf91sVkTdFrzKX	2019
Fennesz - Agora	8	March 29, 2019	Ambient	Fennesz	Agora	7JpOsq1F2A9aPr2fdacsOk	2019
Helado Negro - This Is How You Smile	7	March 8, 2019	Art Pop	Helado Negro	This Is How You Smile	17LsQV3q3cgTBrat3D5JSv	2019
Bad Bunny - X 100PRE	6	December 24, 2018	Trap Rap	Bad Bunny	X 100PRE	7CjJb2mikwAWA1V6kewFBF	2019
Solange - When I Get Home	5	March 1, 2019	Neo-Soul	Solange	When I Get Home	4WF4HvVT7VjGnVjxjoCR6w	2019
Angel Olsen - All Mirrors	4	October 4, 2019	Art Pop	Angel Olsen	All Mirrors	0RedX0LZkGUFoRwFntAaI0	2019
Big Thief - U.F.O.F.	3	May 3, 2019	Indie Folk	Big Thief	U.F.O.F.	13arYJWgDb5xGDHU49Nlj9	2019
FKA twigs - MAGDALENE	2	November 8, 2019	Art Pop	FKA twigs	MAGDALENE	2w8Wshbp9RCPJdPU1iOpaY	2019
Lana Del Rey - Norman Fucking Rockwell!	1	August 30, 2019	Art Pop	Lana Del Rey	Norman Fucking Rockwell!	5XpEKORZ4y6OrCZSKsi46A	2019
